type,isolate,protein,oil,total_density,bone_density,bone_volume,total_volume,repetitions,std_protein,std_oil,std_total_density,std_bone_density,std_bone_volume,std_total_volume,pc1,pc2,pc3,pc4,time_point,angle,camera_id
calibration,cal-45,14.0855626213217,4.20639875020311,1.3830974486992,1.50561719149987,182.317023734091,212.530143873171,5.0000000000000000,1.04783935904033,0.796931174997498,0.0442532296978265,0.0278104450354878,20.6002062029153,23.7658786547582,,,,,,,
calibration,cal-46,13.3625211633927,3.67412394055153,1.30425170294413,1.48765411483307,152.148976921292,181.44897632547,5.0000000000000000,0.92603544730167,0.561775499698055,0.0414632893419576,0.0262405472523876,22.9672340571304,28.1712548219048,,,,,,,
calibration,cal-47,13.7403927580915,3.04578788142228,1.31890326510339,1.49034427281155,118.340816075715,146.968829784541,5.0000000000000000,0.947592070615289,0.527379333630702,0.0403342198438203,0.0275569586789746,19.048523706672,22.9813594020973,,,,,,,
calibration,cal-48,13.1718619115407,3.30939136402424,1.29323523326251,1.46826602075617,115.361681614659,144.715276540944,4.9583333333333333,1.01382093574823,0.490167651205097,0.0421635895325311,0.0343682999322581,18.5327677147338,21.5857114774321,,,,,,,
calibration,CML052,13.9045121968496,2.88277684780524,1.43285635483263,1.52310353354898,157.680195727767,177.285452502717,2.0000000000000000,1.06522711417775,0.837775671390793,0.044994091704378,0.020043194101802,18.1678710251234,19.6440819079589,,,,,,,
calibration,CML069,13.3485126165645,3.90250158857723,1.46970466253694,1.58305363225753,181.625915562882,201.739483630193,2.0000000000000000,0.685363137122765,0.625740245431103,0.133900888867376,0.0151562903695726,8.73746968021701,36.3591411996889,,,,,,,
calibration,CML103,11.3781422941706,3.23120064309981,1.36445808204315,1.46072362169733,209.291375398981,243.810403887184,2.0000000000000000,0.398501112766612,1.7948536540859,0.0708254862587586,0.0300896091911349,12.9449153066732,18.3439322006023,,,,,,,
calibration,CML228,12.6155756004734,4.32751591030338,1.43060224138418,1.52142621440214,206.057019765983,233.884820098921,2.0000000000000000,0.682941259558346,0.962207014633682,0.129651118261867,0.034361715415369,13.7757873865719,38.5723602481353,,,,,,,
calibration,CML247,13.3531835043738,3.6584817601548,1.34379258916357,1.47857371847533,213.564948589883,242.084407591646,2.0000000000000000,1.08351902829931,0.878191646400418,0.0733168818831429,0.0237758474223108,21.5020945662074,32.1226709949715,,,,,,,
calibration,CML277,11.8296365565853,3.45445097472111,1.40028361946736,1.52803580020866,213.513097041455,236.833999297593,2.0000000000000000,0.441091022828071,0.988204346364888,0.0762023671455248,0.0369070622370509,6.08035405942065,22.1888255898898,,,,,,,
calibration,CML322,13.0701745361058,4.55364110994005,1.45774613931466,1.55187520379696,171.811030937465,192.229156466319,2.0000000000000000,0.602969728695783,1.22401655237342,0.0720450308692088,0.0233594943737197,13.2422301471152,27.010872445664,,,,,,,
calibration,CML333,13.993345318643,5.38968926014986,1.49264213917652,1.58569966705306,213.15206125991,236.03447270901,2.0000000000000000,0.884005481181379,1.5469260104919,0.0827055036710596,0.0308189561991518,7.60140798748111,18.5963012618146,,,,,,,
calibration,CML52,11.6756569182644,3.35514890925134,1.48962636081815,1.51032393204067,195.164606703872,210.207465635933,2.0000000000000000,0.211452491769037,1.29237255836937,0.104102511364141,0.0338858847211393,10.3672812601427,18.3270579767201,,,,,,,
calibration,CML69,14.2218837162435,3.83543958028856,1.45257632273037,1.56537171574657,200.844289498028,233.489736929054,2.0000000000000000,0.50924338939226,1.4794333032479,0.134453297420724,0.0187123652024304,4.66757906585936,35.9665317657863,,,,,,,
calibration,fl1,14.7890099465946,2.95542338357945,1.2983080450549,1.4866889077483,146.901233405013,167.650645128548,2.0000000000000000,1.04043730003239,0.629336356126048,0.0536801540268507,0.0383647795093652,34.4583128816702,32.0990922456345,,,,,,,
calibration,fl2,12.7920575112803,4.00565712479315,1.25886389623388,1.35193235282778,186.867061724811,214.071672179735,2.0000000000000000,0.76911015247274,0.423869011547648,0.0709177127272685,0.0291334096427969,15.525444465953,23.1387295855725,,,,,,,
calibration,h1,12.6115884077537,3.89254003339322,1.28889522555509,1.4930816981962,153.136945131469,170.454779006863,2.0000000000000000,0.586146462258756,0.673969377470404,0.0597458229729204,0.0281211856274266,7.68341361693291,12.824629450903,,,,,,,
calibration,Hp301,13.0921202790623,3.94556638646659,1.39645710242675,1.54302393385462,101.575068180824,112.375051153684,2.0000000000000000,0.736489397011088,0.831409115259531,0.0585477630186477,0.0293056869068508,9.44319479445575,10.8164088547979,,,,,,,
calibration,"IHO cycle 101-1",17.1744878936452,16.4905956650531,1.34522917709692,1.45077772511383,123.271266860608,148.47310168276,2.0000000000000000,0.998793577740715,0.638570144440745,0.0498217559928785,0.0267792102341726,17.3976883285844,25.6060969869101,,,,,,,
calibration,IHP1,23.4488593496357,3.55615902892698,1.35834192372099,1.52592603696573,68.920240141733,92.5073006346914,2.0000000000000000,2.76839265612012,0.631218113694384,0.0674548164587033,0.0197821377972391,18.5576321012466,27.3685248130627,,,,,,,
calibration,Il14H,15.5497912402704,5.79514206527456,1.52757626786754,1.59606146476567,146.766495641778,163.460752752818,2.0000000000000000,1.19285825521084,1.26863393628928,0.117867068284245,0.0457866894203827,7.04781228681777,22.0552268908438,,,,,,,
calibration,IL14H,14.7979906699173,6.38260617381959,1.49058640489647,1.59501168864582,146.772073160155,164.326179843252,2.0000000000000000,0.642557910486491,1.04244133232152,0.115945327621224,0.0393225844809264,2.07787995267102,32.5644071616898,,,,,,,
calibration,"ILO cycle 99-1",14.1237811067498,0.536118536171859,1.39272113159996,1.41567562232103,241.642556076203,276.890221553907,2.0000000000000000,1.49354580734419,0.652155607529191,0.11927631095722,0.0697340194056435,25.2436060554527,32.7354035082814,,,,,,,
calibration,ILP1,7.74912722102115,3.59348690055586,1.15706299995517,1.38101097235302,198.754579033629,230.452809516533,2.0000000000000000,0.572158986813498,0.729221829780797,0.0431260307082514,0.0237803188260161,17.7884986280088,23.7523081078859,,,,,,,
