kernel_id,type,isolate,plate_name,protein,oil,total_density,bone_density,bone_volume,total_volume,repetitions,std_protein,std_oil,std_total_density,std_bone_density,std_bone_volume,std_total_volume,pc1,pc2,pc3,pc4
51717,calibration,cal-47,cal-47,16.7252638880378,5.60806930005964,1.17511683364489,1.52809937155547,56.3710227109943,91.981082271309,5,1.27132961210946,0.707579284037391,0.0371988227295835,0.0208435029237066,20.1594554376309,28.0676994511975,,,,
52002,NAM_parents,B97,07S-2048-06B,11.1355113077112,3.46752352735409,1.27229780024393,1.48560861684554,149.417479685541,173.707672708852,4,2.32476635249165,0.927109145578946,0.0481462701928576,0.0226545593350141,15.9241272329465,21.495127298574,,,,
52030,NAM_parents,B97,07S-2048-06B,10.2565864618504,2.96016307467267,1.37894569723218,1.52006734882857,185.066998898051,205.622878221672,4,2.17982102521479,0.892567060466886,0.0724448998338329,0.0205763004328026,15.4736848789436,15.8847548950911,,,,
51756,calibration,soybean_armstrong,soybean_armstrong,29.274208657561,23.1747022385418,1.40640195039849,1.42167807283069,178.617885492159,245.266706506462,5,1.10734260226134,1.01161709518043,0.034634486391545,0.0160778794337858,9.10952249827698,14.0991107583156,,,,
52057,NAM_parents,CML052,07S-2049-02A,11.8818403280709,1.86115215343963,1.49240301426602,1.59028631619764,180.576479581156,190.82734882632,4,2.00066527464493,0.444577449216793,0.073961456606761,0.0647888707030518,3.2981399811759,13.9429694486222,,,,
52273,NAM_parents,CML103,07S-2051-04B,11.9424610373215,2.24234954718388,1.39358402919126,1.44424304422351,179.346238899878,202.367342358681,4,0.676765575140974,0.866360479523871,0.0187708731861379,0.0282308886770511,30.6113572807998,32.0026369285283,,,,
51770,calibration,soybean_armstrong,soybean_armstrong,26.8422453928987,18.45201434377,1.33173977594818,1.41362158257741,120.46700161281,179.349423425505,5,1.72871589051399,1.17795032824948,0.0120415963700562,0.0200005821192388,10.4340039400208,13.4922201565364,,,,
52244,NAM_parents,CML103,07S-2051-04A,11.4780154096582,2.41447588748983,1.38749416282492,1.49221311235501,120.920871785218,134.132172502104,4,0.412525221364592,0.584577645959316,0.0501890419326866,0.0255681988168397,36.1896130812855,42.3656998820113,,,,
52248,NAM_parents,CML103,07S-2051-04A,11.1614278934048,1.91020090784295,1.39468292967922,1.48144983307342,156.114691921886,177.364399080238,4,1.20170122377361,0.412500479897646,0.0408840479755725,0.0389709033268054,18.9759865959262,11.5187062410307,,,,
51722,calibration,cal-48,cal-48,15.6891510705621,8.10296416681271,1.19684481499939,1.48376837788197,133.024442354025,176.393698717823,5,1.21122325171329,0.90801217207524,0.0487798541193084,0.0287867673646847,8.87960131167379,14.4298177526984,,,,
51743,calibration,cal-48,cal-48,13.7193762693516,3.12715545674505,1.32261961729576,1.48352934554205,119.35613108448,146.093762331857,5,1.08423355402711,0.821191828011982,0.0315141520841343,0.0205065384889301,8.9166285409266,12.1459712563721,,,,
52074,NAM_parents,CML052,07S-2049-02A,12.3240924516354,1.70625954893391,1.51514294389189,1.53766515651281,196.751464228349,209.684151992869,4,1.00148671651879,0.210858317293928,0.0725471837541064,0.0278244177237543,15.3074648093324,6.99593641316264,,,,
51383,calibration,misc_standards_19,misc_standards_19,13.9724100902111,3.10721355102262,1.20394941362225,1.33574867957297,-107.594511505206,-89.5067355422358,187,1.92478566405536,1.29635294106762,0.251444066009131,0.119803951620965,19.5116994286201,40.4362361393282,,,,
51564,calibration,cal-44,cal-44,13.8152158357286,5.12350652407783,1.39456927910324,1.50570210107274,195.019350074919,228.73801348127,5,1.53669688749053,0.534332914178627,0.046449770294993,0.0400744093697532,16.7050408876253,23.1322122751485,,,,
51612,calibration,cal-45,cal-45,13.8499800652383,2.3303981123472,1.50162465998605,1.59219469722066,221.78056358802,248.109789754383,5,0.797676736581246,0.212414781767437,0.0607072083477753,0.0268771373389983,17.4879537679666,14.0698152867087,,,,
52065,NAM_parents,CML052,07S-2049-02A,12.0513258258026,1.55879626733619,1.54508396114614,1.55991995673547,184.955955642312,194.330686677386,4,1.05766804533993,0.383711161296426,0.0909021690949555,0.0404427770271141,5.3882151076117,11.6640813595357,,,,
51599,calibration,cal-45,cal-45,24.1128393849885,3.68065867766841,1.3655545920292,1.50938831297784,65.1035072171369,94.0761396749021,5,2.65257859684197,0.337186522987954,0.0440623129306954,0.0436603548026575,10.5495912526655,16.0606178230127,,,,
52356,NAM_parents,CML228,07S-2052-01A,13.2292869954104,4.8720461986727,1.37191177915583,1.54870605871546,170.01097140485,192.953225720478,4,2.61170132057162,2.2881582306658,0.0472051689600807,0.0454606781844619,4.8825843183989,7.27063473709848,,,,
52313,NAM_parents,CML103,07S-2051-04B,11.4363994857265,2.45454623848359,1.39202168483221,1.47697951373692,182.40409568761,208.430458771173,4,1.21306957550586,0.836545038901055,0.0537959825300984,0.0179505645018641,29.8440681490855,23.784759911633,,,,
51647,calibration,cal-46,cal-46,12.5677585872181,3.06408287225334,1.32836388363881,1.46566873687305,137.720940775539,155.931538506579,5,0.877107044806181,0.426117516870401,0.0568604926192871,0.0246057065835681,25.4829406180128,32.3614312675485,,,,
51648,calibration,cal-46,cal-46,10.5208941459946,2.02546196463244,1.36927002570134,1.48006632338984,210.910969213557,235.074702659646,5,0.636042747327498,0.629832193677364,0.0582109890740986,0.023892005359507,21.8538608181665,20.6734584980111,,,,
52071,NAM_parents,CML052,07S-2049-02A,12.2551106688981,2.04449654779755,1.49781768084731,1.51356226250047,189.918794657762,200.543114714362,4,1.15527522556757,1.25144995413387,0.0475758462851835,0.0252396264539166,10.8055509942398,8.71867667274834,,,,
51718,calibration,cal-47,cal-47,16.9182011234048,5.83758576944069,1.13813657489103,1.5364305038026,76.3099424169183,116.81003027919,5,0.752359757822896,0.495202068489161,0.0261950481862955,0.0345280614372293,7.410466977971,11.1893639585392,,,,
52143,NAM_parents,CML069,07S-2050-05A,13.0890616989771,3.82237065763087,1.48861033651772,1.58475646306939,152.51602718943,167.820668769841,4,0.526657317091506,0.671378360937947,0.0583667548136209,0.0384916674802236,16.6471729799214,13.460430663997,,,,
51822,NAM_parents,W22^ACR,04S-5253-07B,13.8064343205116,6.47011753894651,1.3969826199921,1.4162805770238,170.66635845587,193.775594898322,4,0.307170800300747,2.44535337797073,0.0339630821358393,0.0353592873678906,1.57562006457558,3.95457576658871,,,,
51539,calibration,cal-44,cal-44,12.0559379494031,3.38743342446972,1.52283045955562,1.59805137346281,145.231292194573,160.776441785802,5,1.02665254471845,0.82040262830259,0.0467844118872008,0.0209359057210827,20.1288137479768,22.6221317119436,,,,
52009,NAM_parents,B97,07S-2048-06B,9.71209832770223,3.47963154232461,1.25963697309792,1.47185928975671,208.082164665573,243.373339609526,4,0.814160160807283,1.0228958641874,0.015482413853619,0.0133442743961247,18.8363805696944,24.1506419262828,,,,
51846,NAM_parents,W22^ACR,04S-5253-07B,12.8807949780752,2.61948731805343,1.43073753344558,1.56426753752571,174.68190985741,199.108022332923,4,1.41766099745678,0.453234973548266,0.0412541786458549,0.0704018765387944,15.4282677070286,14.5491786148502,,,,
52106,NAM_parents,CML052,07S-2049-02B,13.0199923987169,1.76933680175374,1.46959576984682,1.5216359581463,188.914028990061,203.751131261181,4,1.57579972598043,0.620293066236905,0.103618586297673,0.0277793275393666,16.422130526097,22.4623842179951,,,,
52235,NAM_parents,CML103,07S-2051-04A,11.2003164818436,2.69969917855052,1.36282248175432,1.45136157835781,171.630702915028,198.551822923631,4,0.237855270308755,0.459361774845646,0.0328518712022197,0.0182786319228294,17.6678816264296,26.6886393647734,,,,
51479,calibration,cal-42,cal-42,13.0313918405229,3.29798661937676,1.48627014292685,1.58178105746418,169.387451461162,190.004114401942,5,1.25518865081968,0.389988003294478,0.0476749658012432,0.0558291867971759,22.8164417805644,35.415401841952,,,,
51641,calibration,cal-46,cal-46,11.7567699600702,4.21165240419839,1.28643840955291,1.4935938188977,81.6485679463923,105.292475970273,5,1.00803475904739,0.619719382136811,0.0520607925007298,0.0179226840264112,19.5940011355578,25.0607924884709,,,,
52327,NAM_parents,CML228,07S-2052-01A,13.4473443597402,4.64212146896471,1.32770558344228,1.5311145721977,141.177012261724,165.396558115359,4,1.88427604908565,1.02790356956457,0.0382193543385039,0.0326899191338809,11.4934802506715,12.9652163431564,,,,
51686,calibration,cal-47,cal-47,14.0329203164124,2.06876611676956,1.26302126389943,1.43922012984798,97.370121315399,126.735885473637,5,1.02467720626276,0.593546995092181,0.0625210500712414,0.0398301098445447,6.44761207061256,14.4098516158846,,,,
